"Name","mean_fold_acc","multiclass_strategy","pca_cev","svm_C","svm_max_iter","xgb_n_estimators","xgb_max_depth"
"eager-sweep-120","0.8405179982440738","native","0.95","","","300","10"
"autumn-sweep-119","0.8405179982440738","native","0.95","","","200","10"
"leafy-sweep-118","0.8381299385425812","native","0.95","","","100","10"
"vague-sweep-117","0.8434855136084284","native","0.95","","","300","8"
"chocolate-sweep-116","0.8434855136084284","native","0.95","","","200","8"
"ethereal-sweep-115","0.8387181738366989","native","0.95","","","100","8"
"serene-sweep-114","0.847638279192274","native","0.95","","","300","6"
"lunar-sweep-113","0.847638279192274","native","0.95","","","200","6"
"rural-sweep-112","0.8470412642669009","native","0.95","","","100","6"
"jumping-sweep-111","0.8583933274802459","native","0.95","","","300","3"
"icy-sweep-110","0.8583933274802459","native","0.95","","","200","3"
"radiant-sweep-109","0.8542230026338895","native","0.95","","","100","3"
"fancy-sweep-108","0.8452502194907814","native","0.9","","","300","10"
"elated-sweep-107","0.8452502194907814","native","0.9","","","200","10"
"astral-sweep-106","0.8446532045654084","native","0.9","","","100","10"
"astral-sweep-105","0.8464530289727832","native","0.9","","","300","8"
"bumbling-sweep-104","0.8464530289727832","native","0.9","","","200","8"
"tough-sweep-103","0.8428709394205443","native","0.9","","","100","8"
"pious-sweep-102","0.8458647936786656","native","0.9","","","300","6"
"stellar-sweep-101","0.8458647936786656","native","0.9","","","200","6"
"glad-sweep-100","0.8422827041264267","native","0.9","","","100","6"
"misunderstood-sweep-99","0.8560052677787533","native","0.9","","","300","3"
"bright-sweep-98","0.8554082528533801","native","0.9","","","200","3"
"polar-sweep-97","0.85657594381036","native","0.9","","","100","3"
"chocolate-sweep-96","0.8488762071992977","native","0.85","","","300","10"
"treasured-sweep-95","0.8488762071992977","native","0.85","","","200","10"
"autumn-sweep-94","0.845891132572432","native","0.85","","","100","10"
"gallant-sweep-93","0.8506057945566287","native","0.85","","","300","8"
"feasible-sweep-92","0.8506057945566287","native","0.85","","","200","8"
"playful-sweep-91","0.845258999122037","native","0.85","","","100","8"
"misunderstood-sweep-90","0.8505618964003512","native","0.85","","","300","6"
"celestial-sweep-89","0.8505618964003512","native","0.85","","","200","6"
"daily-sweep-88","0.8416505706760316","native","0.85","","","100","6"
"solar-sweep-87","0.8661369622475854","native","0.85","","","300","3"
"youthful-sweep-86","0.8649429323968393","native","0.85","","","200","3"
"sleek-sweep-85","0.8607726075504827","native","0.85","","","100","3"
"blooming-sweep-84","0.8375680421422301","native","0.8","","","300","10"
"pleasant-sweep-83","0.8375680421422301","native","0.8","","","200","10"
"volcanic-sweep-82","0.8393415276558385","native","0.8","","","100","10"
"legendary-sweep-81","0.843511852502195","native","0.8","","","300","8"
"azure-sweep-80","0.843511852502195","native","0.8","","","200","8"
"exalted-sweep-79","0.8387532923617209","native","0.8","","","100","8"
"playful-sweep-78","0.8429060579455663","native","0.8","","","300","6"
"glowing-sweep-77","0.8429060579455663","native","0.8","","","200","6"
"eternal-sweep-76","0.8387708516242317","native","0.8","","","100","6"
"absurd-sweep-75","0.8589815627743634","native","0.8","","","300","3"
"giddy-sweep-74","0.8560052677787533","native","0.8","","","200","3"
"visionary-sweep-73","0.8512554872695347","native","0.8","","","100","3"
"worthy-sweep-72","0.8256804214223002","native","0.7","","","300","10"
"laced-sweep-71","0.823889376646181","native","0.7","","","200","10"
"lunar-sweep-70","0.8215276558384548","native","0.7","","","100","10"
"astral-sweep-69","0.8268568920105356","native","0.7","","","300","8"
"happy-sweep-68","0.8262598770851625","native","0.7","","","200","8"
"blooming-sweep-67","0.8227129060579457","native","0.7","","","100","8"
"crimson-sweep-66","0.8221158911325723","native","0.7","","","300","6"
"prime-sweep-65","0.822107111501317","native","0.7","","","200","6"
"winter-sweep-64","0.8256804214223002","native","0.7","","","100","6"
"earnest-sweep-63","0.8292800702370501","native","0.7","","","300","3"
"faithful-sweep-62","0.8292800702370501","native","0.7","","","200","3"
"splendid-sweep-61","0.8298858647936789","native","0.7","","","100","3"
"divine-sweep-60","0.8203336259877083","oao","0.95","","","300","10"
"worthy-sweep-59","0.8203336259877083","oao","0.95","","","200","10"
"vital-sweep-58","0.8197366110623353","oao","0.95","","","100","10"
"legendary-sweep-57","0.8203336259877083","oao","0.95","","","300","8"
"swift-sweep-56","0.8203336259877083","oao","0.95","","","200","8"
"floral-sweep-55","0.8197366110623353","oao","0.95","","","100","8"
"earthy-sweep-54","0.8203336259877083","oao","0.95","","","300","6"
"solar-sweep-53","0.8203336259877083","oao","0.95","","","200","6"
"fearless-sweep-52","0.8197366110623353","oao","0.95","","","100","6"
"revived-sweep-51","0.8232835820895522","oao","0.95","","","300","3"
"vibrant-sweep-50","0.8232835820895522","oao","0.95","","","200","3"
"rosy-sweep-49","0.8232835820895522","oao","0.95","","","100","3"
"fluent-sweep-48","0.8316242317822652","oao","0.9","","","300","10"
"stilted-sweep-47","0.8316242317822652","oao","0.9","","","200","10"
"fresh-sweep-46","0.8316242317822652","oao","0.9","","","100","10"
"bright-sweep-45","0.8316242317822652","oao","0.9","","","300","8"
"fast-sweep-44","0.8316242317822652","oao","0.9","","","200","8"
"dulcet-sweep-43","0.8316242317822652","oao","0.9","","","100","8"
"generous-sweep-42","0.8304477611940299","oao","0.9","","","300","6"
"light-sweep-41","0.8304477611940299","oao","0.9","","","200","6"
"magic-sweep-40","0.8304477611940299","oao","0.9","","","100","6"
"easy-sweep-39","0.8262949956101844","oao","0.9","","","300","3"
"still-sweep-38","0.8262949956101844","oao","0.9","","","200","3"
"toasty-sweep-37","0.8262949956101844","oao","0.9","","","100","3"
"elated-sweep-36","0.8262949956101844","oao","0.85","","","300","10"
"magic-sweep-35","0.8262949956101844","oao","0.85","","","200","10"
"leafy-sweep-34","0.8274890254609306","oao","0.85","","","100","10"
"pretty-sweep-33","0.8262949956101844","oao","0.85","","","300","8"
"dutiful-sweep-32","0.8262949956101844","oao","0.85","","","200","8"
"colorful-sweep-31","0.8274890254609306","oao","0.85","","","100","8"
"major-sweep-30","0.826883230904302","oao","0.85","","","300","6"
"eager-sweep-29","0.826883230904302","oao","0.85","","","200","6"
"crisp-sweep-28","0.8280772607550483","oao","0.85","","","100","6"
"astral-sweep-27","0.8351975417032486","oao","0.85","","","300","3"
"devoted-sweep-26","0.8351975417032486","oao","0.85","","","200","3"
"earthy-sweep-25","0.8340035118525023","oao","0.85","","","100","3"
"gallant-sweep-24","0.80900790166813","oao","0.8","","","300","10"
"absurd-sweep-23","0.80900790166813","oao","0.8","","","200","10"
"hearty-sweep-22","0.8095961369622476","oao","0.8","","","100","10"
"playful-sweep-21","0.80900790166813","oao","0.8","","","300","8"
"smart-sweep-20","0.80900790166813","oao","0.8","","","200","8"
"laced-sweep-19","0.8095961369622476","oao","0.8","","","100","8"
"copper-sweep-18","0.8102019315188761","oao","0.8","","","300","6"
"vibrant-sweep-17","0.8102019315188761","oao","0.8","","","200","6"
"balmy-sweep-16","0.80900790166813","oao","0.8","","","100","6"
"eager-sweep-15","0.8197014925373135","oao","0.8","","","300","3"
"dainty-sweep-14","0.8197014925373135","oao","0.8","","","200","3"
"dashing-sweep-13","0.8190956979806849","oao","0.8","","","100","3"
"charmed-sweep-12","0.7834503950834065","oao","0.7","","","300","10"
"icy-sweep-11","0.7846356453028973","oao","0.7","","","200","10"
"cosmic-sweep-10","0.7870149253731344","oao","0.7","","","100","10"
"distinctive-sweep-9","0.7834503950834065","oao","0.7","","","300","8"
"apricot-sweep-8","0.7846356453028973","oao","0.7","","","200","8"
"winter-sweep-7","0.7870149253731344","oao","0.7","","","100","8"
"celestial-sweep-6","0.7894029850746268","oao","0.7","","","300","6"
"neat-sweep-5","0.7881913959613697","oao","0.7","","","200","6"
"olive-sweep-4","0.7905618964003511","oao","0.7","","","100","6"
"devoted-sweep-3","0.7947410008779631","oao","0.7","","","300","3"
"woven-sweep-2","0.7953380158033362","oao","0.7","","","200","3"
"fast-sweep-1","0.7971202809482001","oao","0.7","","","100","3"
"revived-sweep-160","0.9285601404741","oaa","0.95","16","2000","",""
"fine-sweep-159","0.9285601404741","oaa","0.95","16","1000","",""
"unique-sweep-158","0.9285601404741","oaa","0.95","4","2000","",""
"wild-sweep-157","0.9285601404741","oaa","0.95","4","1000","",""
"major-sweep-156","0.9285601404741","oaa","0.95","1","2000","",""
"crimson-sweep-155","0.9285601404741","oaa","0.95","1","1000","",""
"solar-sweep-154","0.9285601404741","oaa","0.95","0.25","2000","",""
"serene-sweep-153","0.9285601404741","oaa","0.95","0.25","1000","",""
"morning-sweep-152","0.9285601404741","oaa","0.95","0.0625","2000","",""
"stilted-sweep-151","0.9285601404741","oaa","0.95","0.0625","1000","",""
"polished-sweep-150","0.9285601404741","oaa","0.95","0.015625","2000","",""
"skilled-sweep-149","0.9285601404741","oaa","0.95","0.015625","1000","",""
"misty-sweep-148","0.9309394205443372","oaa","0.95","0.00390625","2000","",""
"visionary-sweep-147","0.9309394205443372","oaa","0.95","0.00390625","1000","",""
"good-sweep-146","0.9303336259877084","oaa","0.95","0.0009765625","2000","",""
"absurd-sweep-145","0.9303336259877084","oaa","0.95","0.0009765625","1000","",""
"blooming-sweep-144","0.9148639157155398","oaa","0.9","16","2000","",""
"electric-sweep-143","0.9142756804214224","oaa","0.9","16","1000","",""
"swept-sweep-142","0.9148639157155398","oaa","0.9","4","2000","",""
"absurd-sweep-141","0.9142756804214224","oaa","0.9","4","1000","",""
"absurd-sweep-140","0.9148639157155398","oaa","0.9","1","2000","",""
"dutiful-sweep-139","0.9148639157155398","oaa","0.9","1","1000","",""
"avid-sweep-138","0.9148639157155398","oaa","0.9","0.25","2000","",""
"rose-sweep-137","0.9148639157155398","oaa","0.9","0.25","1000","",""
"spring-sweep-136","0.915460930640913","oaa","0.9","0.0625","2000","",""
"bumbling-sweep-135","0.9148726953467954","oaa","0.9","0.0625","1000","",""
"valiant-sweep-134","0.9166549604916592","oaa","0.9","0.015625","2000","",""
"usual-sweep-133","0.9166549604916592","oaa","0.9","0.015625","1000","",""
"flowing-sweep-132","0.9184460052677788","oaa","0.9","0.00390625","2000","",""
"solar-sweep-131","0.9184460052677788","oaa","0.9","0.00390625","1000","",""
"earthy-sweep-130","0.919657594381036","oaa","0.9","0.0009765625","2000","",""
"snowy-sweep-129","0.919657594381036","oaa","0.9","0.0009765625","1000","",""
"vibrant-sweep-128","0.8892098331870061","oaa","0.85","16","2000","",""
"splendid-sweep-127","0.89099209833187","oaa","0.85","16","1000","",""
"frosty-sweep-126","0.8880158033362597","oaa","0.85","4","2000","",""
"zany-sweep-125","0.8909920983318699","oaa","0.85","4","1000","",""
"drawn-sweep-124","0.8880245829675154","oaa","0.85","1","2000","",""
"whole-sweep-123","0.8898156277436347","oaa","0.85","1","1000","",""
"warm-sweep-122","0.8886128182616331","oaa","0.85","0.25","2000","",""
"electric-sweep-121","0.8886215978928885","oaa","0.85","0.25","1000","",""
"rosy-sweep-120","0.8910008779631255","oaa","0.85","0.0625","2000","",""
"generous-sweep-119","0.8892273924495171","oaa","0.85","0.0625","1000","",""
"dandy-sweep-118","0.8975504828797191","oaa","0.85","0.015625","2000","",""
"ancient-sweep-117","0.8951887620719929","oaa","0.85","0.015625","1000","",""
"royal-sweep-116","0.8993678665496049","oaa","0.85","0.00390625","2000","",""
"sweepy-sweep-115","0.899964881474978","oaa","0.85","0.00390625","1000","",""
"glamorous-sweep-114","0.8915978928884986","oaa","0.85","0.0009765625","2000","",""
"young-sweep-113","0.8915978928884986","oaa","0.85","0.0009765625","1000","",""
"efficient-sweep-112","0.8523617208077261","oaa","0.8","16","2000","",""
"stoic-sweep-111","0.8476207199297631","oaa","0.8","16","1000","",""
"legendary-sweep-110","0.856523266022827","oaa","0.8","4","2000","",""
"charmed-sweep-109","0.849402985074627","oaa","0.8","4","1000","",""
"exalted-sweep-108","0.8523441615452151","oaa","0.8","1","2000","",""
"ethereal-sweep-107","0.8529499561018438","oaa","0.8","1","1000","",""
"confused-sweep-106","0.8535645302897278","oaa","0.8","0.25","2000","",""
"quiet-sweep-105","0.8529675153643548","oaa","0.8","0.25","1000","",""
"daily-sweep-104","0.8529587357330992","oaa","0.8","0.0625","2000","",""
"dauntless-sweep-103","0.8535645302897278","oaa","0.8","0.0625","1000","",""
"eager-sweep-102","0.8583055311676909","oaa","0.8","0.015625","2000","",""
"vital-sweep-101","0.8577172958735734","oaa","0.8","0.015625","1000","",""
"silvery-sweep-100","0.8600790166812993","oaa","0.8","0.00390625","2000","",""
"deft-sweep-99","0.8600790166812993","oaa","0.8","0.00390625","1000","",""
"revived-sweep-98","0.8523090430201932","oaa","0.8","0.0009765625","2000","",""
"unique-sweep-97","0.8523090430201932","oaa","0.8","0.0009765625","1000","",""
"good-sweep-96","0.7618612818261633","oaa","0.7","16","2000","",""
"swept-sweep-95","0.7510886742756803","oaa","0.7","16","1000","",""
"bright-sweep-94","0.7553028972783143","oaa","0.7","4","2000","",""
"robust-sweep-93","0.7470412642669008","oaa","0.7","4","1000","",""
"distinctive-sweep-92","0.7547146619841967","oaa","0.7","1","2000","",""
"fearless-sweep-91","0.7523705004389817","oaa","0.7","1","1000","",""
"zany-sweep-90","0.7874978050921863","oaa","0.7","0.25","2000","",""
"spring-sweep-89","0.7660228270412642","oaa","0.7","0.25","1000","",""
"sweet-sweep-88","0.7892537313432836","oaa","0.7","0.0625","2000","",""
"fast-sweep-87","0.7815627743634768","oaa","0.7","0.0625","1000","",""
"legendary-sweep-86","0.7642142230026339","oaa","0.7","0.015625","2000","",""
"peach-sweep-85","0.7600087796312555","oaa","0.7","0.015625","1000","",""
"expert-sweep-84","0.7284108867427568","oaa","0.7","0.00390625","2000","",""
"efficient-sweep-83","0.7296312554872695","oaa","0.7","0.00390625","1000","",""
"daily-sweep-82","0.7171027216856892","oaa","0.7","0.0009765625","2000","",""
"dry-sweep-81","0.7171027216856892","oaa","0.7","0.0009765625","1000","",""
"vivid-sweep-80","0.9410447761194032","oao","0.95","16","2000","",""
"dashing-sweep-79","0.9410447761194032","oao","0.95","16","1000","",""
"scarlet-sweep-78","0.9410447761194032","oao","0.95","4","2000","",""
"absurd-sweep-77","0.9410447761194032","oao","0.95","4","1000","",""
"azure-sweep-76","0.9410447761194032","oao","0.95","1","2000","",""
"amber-sweep-75","0.9410447761194032","oao","0.95","1","1000","",""
"hardy-sweep-74","0.9410447761194032","oao","0.95","0.25","2000","",""
"skilled-sweep-73","0.9410447761194032","oao","0.95","0.25","1000","",""
"earnest-sweep-72","0.9410447761194032","oao","0.95","0.0625","2000","",""
"logical-sweep-71","0.9410447761194032","oao","0.95","0.0625","1000","",""
"lilac-sweep-70","0.9410447761194032","oao","0.95","0.015625","2000","",""
"different-sweep-69","0.9410447761194032","oao","0.95","0.015625","1000","",""
"glamorous-sweep-68","0.9416330114135208","oao","0.95","0.00390625","2000","",""
"fresh-sweep-67","0.9416330114135208","oao","0.95","0.00390625","1000","",""
"balmy-sweep-66","0.9469973661106236","oao","0.95","0.0009765625","2000","",""
"major-sweep-65","0.9469973661106236","oao","0.95","0.0009765625","1000","",""
"vague-sweep-64","0.9279192273924496","oao","0.9","16","2000","",""
"spring-sweep-63","0.9279192273924496","oao","0.9","16","1000","",""
"effortless-sweep-62","0.9279192273924496","oao","0.9","4","2000","",""
"ancient-sweep-61","0.9279192273924496","oao","0.9","4","1000","",""
"young-sweep-60","0.9279192273924496","oao","0.9","1","2000","",""
"unique-sweep-59","0.9279192273924496","oao","0.9","1","1000","",""
"true-sweep-58","0.9279192273924496","oao","0.9","0.25","2000","",""
"jumping-sweep-57","0.9279192273924496","oao","0.9","0.25","1000","",""
"earnest-sweep-56","0.9279192273924496","oao","0.9","0.0625","2000","",""
"flowing-sweep-55","0.9279192273924496","oao","0.9","0.0625","1000","",""
"fallen-sweep-54","0.9291132572431958","oao","0.9","0.015625","2000","",""
"light-sweep-53","0.9291132572431958","oao","0.9","0.015625","1000","",""
"pretty-sweep-52","0.9314837576821776","oao","0.9","0.00390625","2000","",""
"stellar-sweep-51","0.9314837576821776","oao","0.9","0.00390625","1000","",""
"true-sweep-50","0.9356628621597892","oao","0.9","0.0009765625","2000","",""
"glorious-sweep-49","0.9356628621597892","oao","0.9","0.0009765625","1000","",""
"balmy-sweep-48","0.9225460930640914","oao","0.85","16","2000","",""
"rosy-sweep-47","0.9225460930640914","oao","0.85","16","1000","",""
"true-sweep-46","0.9225460930640914","oao","0.85","4","2000","",""
"eternal-sweep-45","0.9225460930640914","oao","0.85","4","1000","",""
"vivid-sweep-44","0.9225460930640914","oao","0.85","1","2000","",""
"dry-sweep-43","0.9225460930640914","oao","0.85","1","1000","",""
"robust-sweep-42","0.9225460930640914","oao","0.85","0.25","2000","",""
"clear-sweep-41","0.9225460930640914","oao","0.85","0.25","1000","",""
"graceful-sweep-40","0.9237401229148376","oao","0.85","0.0625","2000","",""
"effortless-sweep-39","0.9237401229148376","oao","0.85","0.0625","1000","",""
"cosmic-sweep-38","0.9237401229148376","oao","0.85","0.015625","2000","",""
"swift-sweep-37","0.9237401229148376","oao","0.85","0.015625","1000","",""
"balmy-sweep-36","0.9290956979806848","oao","0.85","0.00390625","2000","",""
"whole-sweep-35","0.9290956979806848","oao","0.85","0.00390625","1000","",""
"honest-sweep-34","0.9279016681299386","oao","0.85","0.0009765625","2000","",""
"unique-sweep-33","0.9279016681299386","oao","0.85","0.0009765625","1000","",""
"kind-sweep-32","0.9046883230904302","oao","0.8","16","2000","",""
"pious-sweep-31","0.9052853380158034","oao","0.8","16","1000","",""
"royal-sweep-30","0.9046883230904302","oao","0.8","4","2000","",""
"morning-sweep-29","0.9052853380158034","oao","0.8","4","1000","",""
"worthy-sweep-28","0.9046883230904302","oao","0.8","1","2000","",""
"trim-sweep-27","0.9046883230904302","oao","0.8","1","1000","",""
"swept-sweep-26","0.9046883230904302","oao","0.8","0.25","2000","",""
"stellar-sweep-25","0.9052853380158034","oao","0.8","0.25","1000","",""
"generous-sweep-24","0.9058823529411764","oao","0.8","0.0625","2000","",""
"brisk-sweep-23","0.9058823529411764","oao","0.8","0.0625","1000","",""
"firm-sweep-22","0.910052677787533","oao","0.8","0.015625","2000","",""
"olive-sweep-21","0.910052677787533","oao","0.8","0.015625","1000","",""
"desert-sweep-20","0.910649692712906","oao","0.8","0.00390625","2000","",""
"young-sweep-19","0.910649692712906","oao","0.8","0.00390625","1000","",""
"exalted-sweep-18","0.9130289727831432","oao","0.8","0.0009765625","2000","",""
"swift-sweep-17","0.9130289727831432","oao","0.8","0.0009765625","1000","",""
"dauntless-sweep-16","0.8053643546971027","oao","0.7","16","2000","",""
"peach-sweep-15","0.8035820895522388","oao","0.7","16","1000","",""
"rich-sweep-14","0.8059613696224759","oao","0.7","4","2000","",""
"glorious-sweep-13","0.8053731343283581","oao","0.7","4","1000","",""
"lunar-sweep-12","0.8000351185250218","oao","0.7","1","2000","",""
"eager-sweep-11","0.8083406496927129","oao","0.7","1","1000","",""
"lunar-sweep-10","0.8113257243195785","oao","0.7","0.25","2000","",""
"crisp-sweep-9","0.8154697102721685","oao","0.7","0.25","1000","",""
"cool-sweep-8","0.8083318700614575","oao","0.7","0.0625","2000","",""
"iconic-sweep-7","0.8137050043898156","oao","0.7","0.0625","1000","",""
"laced-sweep-6","0.8142932396839332","oao","0.7","0.015625","2000","",""
"generous-sweep-5","0.8160755048287972","oao","0.7","0.015625","1000","",""
"dulcet-sweep-4","0.8243722563652327","oao","0.7","0.00390625","2000","",""
"sandy-sweep-3","0.8243634767339771","oao","0.7","0.00390625","1000","",""
"balmy-sweep-2","0.827928007023705","oao","0.7","0.0009765625","2000","",""
"different-sweep-1","0.827928007023705","oao","0.7","0.0009765625","1000","",""